         34439414 function calls (34116394 primitive calls) in 71.518 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1191    0.001    0.000    0.622    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/pygments/lexer.py:421(_process_regex)
   218535    0.308    0.000    0.620    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/bin/../lib/python3.8/os.py:668(__getitem__)
    25897    0.166    0.000    0.618    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/copy.py:66(copy)
371213/356811    0.165    0.000    0.618    0.000 {built-in method builtins.setattr}
    22565    0.058    0.000    0.599    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:344(chain)
    22803    0.049    0.000    0.584    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/expressions.py:344(copy)
    12856    0.061    0.000    0.579    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/__init__.py:2414(rel_db_type)
    15373    0.083    0.000    0.578    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/manager.py:139(get_queryset)
     2574    0.034    0.000    0.568    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/charsetprober.py:66(filter_international_words)
    12322    0.089    0.000    0.567    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related_lookups.py:103(get_prep_lookup)
      898    0.004    0.000    0.552    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/sre_compile.py:759(compile)
    23340    0.283    0.000    0.549    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/query.py:294(clone)
    36706    0.193    0.000    0.541    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:191(__init__)
     2574    0.004    0.000    0.519    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/re.py:231(findall)
     2574    0.510    0.000    0.510    0.000 {method 'findall' of 're.Pattern' objects}
47953/28387    0.098    0.000    0.502    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/utils/functional.py:40(__get__)
     1637    0.006    0.000    0.494    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:906(exclude)
      235    0.010    0.000    0.457    0.002 /Users/ediaz/work/src/github.com/lnds/codice/analytics/complexity.py:41(<listcomp>)
    50067    0.186    0.000    0.452    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related.py:698(get_path_info)
   101662    0.080    0.000    0.447    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/fields/related.py:878(target_field)
    37608    0.024    0.000    0.447    0.000 /Users/ediaz/work/src/github.com/lnds/codice/analytics/complexity.py:33(complexity_of)
   530490    0.446    0.000    0.446    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/codingstatemachine.py:66(next_state)
    14397    0.052    0.000    0.444    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1577(cursor_iter)
    41628    0.045    0.000    0.440    0.000 {built-in method builtins.next}
   419320    0.437    0.000    0.437    0.000 {method 'split' of 're.Pattern' objects}
   117208    0.208    0.000    0.433    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/asgiref/sync.py:318(get_current_task)
   121836    0.180    0.000    0.431    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/expressions.py:778(get_db_converters)
